count,mean,std,min,50%,max,t,p,r,f1,mcp,mcr,mcf1,batch_size,hashtag_split,svd,binary,tfidf_weights,save,save_results,lang,dataset,annotation,text+,remove_mentions,sub_model,model,window,distance,datetime_of_run
257.0,21.105058365758754,140.311402604619,1.0,2.0,1826.0,0.65,0.934595026688956,0.8627734710022537,0.8739604830077479,0.9649122807017544,0.8695652173913043,0.9147609147609148,8,True,False,True,False,True,True,fr,data/dailytweets_event2018/tw_27_Jul_2018.tsv,annotated,False,False,dangvantuan/sentence-camembert-large,sbert,5424,cosine,2024-07-03-17-32
192.0,16.109375,55.518908770084295,1.0,2.0,450.0,0.65,0.9325925925925928,0.7858418603623523,0.8056873958630243,0.9622641509433962,1.0,0.9807692307692308,8,True,False,True,False,True,True,fr,data/dailytweets_event2018/tw_21_Jul_2018.tsv,annotated,False,False,dangvantuan/sentence-camembert-large,sbert,3088,cosine,2024-07-03-17-32
398.0,13.261306532663315,55.54889429803725,1.0,2.0,571.0,0.65,0.9920336605890604,0.780671025990273,0.8464305972422929,0.9907407407407408,0.9565217391304348,0.973330576803804,8,True,False,True,False,True,True,fr,data/dailytweets_event2018/tw_28_Jul_2018.tsv,annotated,False,False,dangvantuan/sentence-camembert-large,sbert,5272,cosine,2024-07-03-17-32
343.0,13.927113702623906,64.75697207473651,1.0,2.0,688.0,0.65,0.9611731775975964,0.8229915118056544,0.8518998874621885,0.9887640449438202,0.8571428571428571,0.9182608695652174,8,True,False,True,False,True,True,fr,data/dailytweets_event2018/tw_03_Aug_2018.tsv,annotated,False,False,dangvantuan/sentence-camembert-large,sbert,4776,cosine,2024-07-03-17-32
319.0,13.655172413793103,67.4991280858086,1.0,2.0,786.0,0.65,0.9989325408516616,0.8381588969610942,0.8988734835313459,1.0,1.0,1.0,8,True,False,True,False,True,True,fr,data/dailytweets_event2018/tw_29_Jul_2018.tsv,annotated,False,False,dangvantuan/sentence-camembert-large,sbert,4352,cosine,2024-07-03-17-33
361.0,11.556786703601109,52.48653493655344,1.0,2.0,626.0,0.65,0.9962121212121212,0.8259864137069545,0.879751203335406,1.0,0.8823529411764706,0.9375,8,True,False,True,False,True,True,fr,data/dailytweets_event2018/tw_06_Aug_2018.tsv,annotated,False,False,dangvantuan/sentence-camembert-large,sbert,4168,cosine,2024-07-03-17-33
204.0,15.03921568627451,81.80553916334436,1.0,2.0,1091.0,0.65,0.972110399953662,0.8227678486290085,0.8599567825840587,1.0,1.0,1.0,8,True,False,True,False,True,True,fr,data/dailytweets_event2018/tw_20_Jul_2018.tsv,annotated,False,False,dangvantuan/sentence-camembert-large,sbert,3064,cosine,2024-07-03-17-33
311.0,16.672025723472668,79.21670047578543,1.0,2.0,1105.0,0.65,0.9988462721548288,0.8113514420486115,0.8814363263339322,0.918918918918919,1.0,0.9577464788732396,8,True,False,True,False,True,True,fr,data/dailytweets_event2018/tw_26_Jul_2018.tsv,annotated,False,False,dangvantuan/sentence-camembert-large,sbert,5184,cosine,2024-07-03-17-33
417.0,16.59232613908873,132.29109707023835,1.0,2.0,2214.0,0.65,0.9344592850690412,0.750958350542122,0.7815337768301973,0.9903846153846154,0.8888888888888888,0.9368959636156908,8,True,False,True,False,True,True,fr,data/dailytweets_event2018/tw_23_Jul_2018.tsv,annotated,False,False,dangvantuan/sentence-camembert-large,sbert,6912,cosine,2024-07-03-17-33
228.0,14.75,60.71072269558537,1.0,2.0,730.0,0.65,0.9675925925925926,0.8177268560371131,0.8545856376483912,1.0,0.9047619047619048,0.95,8,True,False,True,False,True,True,fr,data/dailytweets_event2018/tw_05_Aug_2018.tsv,annotated,False,False,dangvantuan/sentence-camembert-large,sbert,3360,cosine,2024-07-03-17-34
67.0,22.2089552238806,69.30008030810704,1.0,2.0,428.0,0.65,0.9968009671810476,0.8875860524206521,0.9333301951532268,1.0,1.0,1.0,8,True,False,True,False,True,True,fr,data/dailytweets_event2018/tw_16_Jul_2018.tsv,annotated,False,False,dangvantuan/sentence-camembert-large,sbert,1488,cosine,2024-07-03-17-34
194.0,22.644329896907216,136.24434120991887,1.0,2.0,1723.0,0.65,0.9859761771173164,0.8422556091008191,0.898724735890646,0.9615384615384616,0.9375,0.9493670886075948,8,True,False,True,False,True,True,fr,data/dailytweets_event2018/tw_17_Jul_2018.tsv,annotated,False,False,dangvantuan/sentence-camembert-large,sbert,4392,cosine,2024-07-03-17-34
374.0,11.764705882352942,64.22249558101281,1.0,2.0,1113.0,0.65,0.9906609713146513,0.8481127983873813,0.8995046225904882,0.9690721649484536,0.8333333333333334,0.8960915157292659,8,True,False,True,False,True,True,fr,data/dailytweets_event2018/tw_01_Aug_2018.tsv,annotated,False,False,dangvantuan/sentence-camembert-large,sbert,4400,cosine,2024-07-03-17-34
200.0,17.22,68.9083697172225,1.0,2.0,600.0,0.65,0.999752155840933,0.8870643961727425,0.926826202854639,1.0,1.0,1.0,8,True,False,True,False,True,True,fr,data/dailytweets_event2018/tw_02_Aug_2018.tsv,annotated,False,False,dangvantuan/sentence-camembert-large,sbert,3440,cosine,2024-07-03-17-34
389.0,10.65809768637532,56.94746916962583,1.0,2.0,952.0,0.65,0.9481496848739496,0.8219711849172011,0.8446423159093863,0.978021978021978,0.9230769230769232,0.9497554468652736,8,True,False,True,False,True,True,fr,data/dailytweets_event2018/tw_19_Jul_2018.tsv,annotated,False,False,dangvantuan/sentence-camembert-large,sbert,4144,cosine,2024-07-03-17-34
350.0,12.202857142857145,62.53202267645104,1.0,2.0,758.0,0.65,0.999930565199278,0.7999668339817244,0.8753839426564636,1.0,0.9375,0.967741935483871,8,True,False,True,False,True,True,fr,data/dailytweets_event2018/tw_24_Jul_2018.tsv,annotated,False,False,dangvantuan/sentence-camembert-large,sbert,4264,cosine,2024-07-03-17-34
265.0,12.049056603773584,50.53817797288258,1.0,2.0,514.0,0.65,0.9703631647211411,0.7411336336337462,0.8210356601188867,1.0,1.0,1.0,8,True,False,True,False,True,True,fr,data/dailytweets_event2018/tw_25_Jul_2018.tsv,annotated,False,False,dangvantuan/sentence-camembert-large,sbert,3192,cosine,2024-07-03-17-35
356.0,16.235955056179776,80.82783267277588,1.0,2.0,780.0,0.65,0.9649351351238936,0.7540601921233813,0.8323413175257238,0.9761904761904762,0.8888888888888888,0.9304964539007092,8,True,False,True,False,True,True,fr,data/dailytweets_event2018/tw_22_Jul_2018.tsv,annotated,False,False,dangvantuan/sentence-camembert-large,sbert,5776,cosine,2024-07-03-17-35
277.0,10.422382671480143,49.310961727350445,1.0,2.0,712.0,0.65,0.998032786885246,0.8016006123540251,0.8641530352248975,1.0,1.0,1.0,8,True,False,True,False,True,True,fr,data/dailytweets_event2018/tw_18_Jul_2018.tsv,annotated,False,False,dangvantuan/sentence-camembert-large,sbert,2880,cosine,2024-07-03-17-35
623.0,12.841091492776886,65.84341832277018,1.0,2.0,1035.0,0.65,0.9431853874972596,0.6879537193213046,0.7488471094270048,0.9197530864197532,0.8695652173913043,0.8939553022348883,8,True,False,True,False,True,True,fr,data/dailytweets_event2018/tw_04_Aug_2018.tsv,annotated,False,False,dangvantuan/sentence-camembert-large,sbert,8000,cosine,2024-07-03-17-35
260.0,10.976923076923075,36.43250815861641,1.0,2.0,325.0,0.65,0.9982671257796258,0.8129777372337645,0.8834235076981091,0.913793103448276,1.0,0.9549549549549552,8,True,False,True,False,True,True,fr,data/dailytweets_event2018/tw_30_Jul_2018.tsv,annotated,False,False,dangvantuan/sentence-camembert-large,sbert,2848,cosine,2024-07-03-17-35
344.0,15.421511627906977,96.44956507396046,1.0,2.0,1570.0,0.65,0.9931682064948023,0.7797244697776866,0.8490847559906294,0.9302325581395349,0.9583333333333334,0.944073884043099,8,True,False,True,False,True,True,fr,data/dailytweets_event2018/tw_31_Jul_2018.tsv,annotated,False,False,dangvantuan/sentence-camembert-large,sbert,5304,cosine,2024-07-03-17-36
